ECR_act,FCR_act,wrist_hand_r3_pos
13.369956,5.903507,0.000489
9.845818,3.171485,0.008785
6.921057,1.483536,0.014172
5.353043,1.583974,0.014068
6.973105,3.237707,0.007033
12.132083,5.223867,-0.005919
18.956219,6.101613,-0.020499
25.526653,5.929742,-0.029949
28.085379,5.463138,-0.027949
23.922782,4.984608,-0.012690
18.082209,4.893447,0.010477
16.641684,5.247323,0.030617
21.250813,5.582622,0.037312
28.730218,5.342693,0.027541
33.514845,4.299002,0.007881
33.429509,3.285921,-0.010153
29.510253,3.104916,-0.018051
25.501615,3.542881,-0.015226
26.795522,3.852194,-0.007561
31.665436,3.676798,-0.001800
32.344846,3.329130,-0.000852
26.648625,3.129605,-0.003216
21.224536,3.192726,-0.005700
21.551737,3.437351,-0.006267
26.661875,3.618670,-0.004746
29.966465,3.395273,-0.001711
26.532404,2.730720,0.002629
20.140072,2.042920,0.008209
16.244298,1.799656,0.013997
15.950408,2.080037,0.017523
18.510420,2.631071,0.016029
23.274345,3.059312,0.008511
28.053947,3.263986,-0.003131
28.623747,3.381920,-0.014886
24.110881,3.458038,-0.022654
18.497137,3.457346,-0.023904
15.703322,3.297196,-0.018116
18.049060,2.997389,-0.006484
23.937598,2.705003,0.008255
27.834433,2.826337,0.021784
25.071264,3.475226,0.028779
17.098213,3.909288,0.024995
10.055664,3.371126,0.010385
8.673785,2.322788,-0.008998
12.603020,1.764798,-0.023037
18.253963,2.094408,-0.023670
22.909530,2.840341,-0.011161
27.117183,3.223426,0.005049
31.722992,2.839892,0.012859
34.224480,2.041536,0.006770
32.803193,1.559759,-0.007821
31.780175,1.826889,-0.019039
34.768407,2.699247,-0.017845
38.803313,3.662970,-0.004436
39.001626,4.386958,0.012983
34.529910,4.635215,0.024977
31.069288,4.183722,0.027184
33.673472,3.609676,0.021678
39.409275,3.592207,0.013686
39.880696,3.946983,0.007147
33.684032,3.998260,0.002338
27.536208,3.672748,-0.003469
25.469350,3.385962,-0.013319
27.385482,3.130587,-0.027739
29.983976,2.738868,-0.043454
29.761651,2.421352,-0.054475
27.517396,2.433966,-0.054862
26.867477,2.807794,-0.041330
30.704575,3.249839,-0.014154
38.288385,3.417888,0.023619
44.758213,3.352552,0.067039
42.743456,3.451357,0.108675
33.176112,4.258912,0.137126
26.751315,5.817976,0.137440
32.911202,7.153107,0.096401
48.614055,7.335185,0.012137
59.653550,6.917875,-0.097651
54.097187,6.546884,-0.197026
37.120489,6.055481,-0.246102
23.191246,5.045939,-0.221427
19.750355,3.637151,-0.128923
24.308875,2.605511,-0.000653
28.978147,2.295479,0.121224
28.187249,2.478016,0.202218
23.304005,2.785336,0.225989
20.215268,2.876295,0.195161
21.542145,2.516756,0.125291
25.285948,2.052533,0.036981
26.731033,2.077599,-0.049749
23.868348,2.651704,-0.118055
19.941776,3.230318,-0.155858
17.452475,3.245098,-0.157802
17.049948,2.977698,-0.126581
18.513933,2.953435,-0.072129
20.535229,3.057473,-0.008702
21.337099,2.923262,0.048993
20.128898,2.542843,0.089440
17.063564,2.098599,0.106648
14.740213,1.734731,0.100436
14.735878,1.558509,0.075006
16.793320,1.598739,0.037080
20.558228,1.797086,-0.005335
23.604813,2.076610,-0.043591
23.039205,2.306217,-0.069304
19.222596,2.340254,-0.076227
14.556248,2.098186,-0.062805
11.722456,1.715086,-0.033848
12.459213,1.391981,0.000613
15.397378,1.233821,0.029520
17.147530,1.231822,0.045611
15.783252,1.263961,0.047492
14.058246,1.238081,0.037899
15.848925,1.163114,0.020491
20.628642,1.108034,-0.001483
24.267226,1.139396,-0.023768
23.569192,1.261085,-0.039484
20.332455,1.454389,-0.040763
18.170859,1.687027,-0.024117
18.471908,1.885328,0.004511
19.296966,1.944015,0.030661
18.772005,1.851476,0.039754
20.100518,1.718420,0.027422
26.568920,1.689433,0.003023
34.708413,1.885745,-0.017365
38.144651,2.268169,-0.022983
