ECR_act,FCR_act,wrist_hand_r3_pos
48.326007,6.027714,2.143705
45.698165,16.116074,0.957969
32.434670,32.783735,-0.582739
16.180868,45.568797,-1.860127
7.057174,43.455112,-2.349488
11.254633,28.127599,-1.845424
28.887201,12.026295,-0.558666
49.898575,4.334466,0.951079
56.408447,7.424133,1.995569
42.771651,20.084833,2.073829
23.217538,36.217846,1.145776
12.201547,42.999720,-0.313601
13.604840,32.837960,-1.553121
22.937904,15.249994,-1.948443
30.794695,3.707302,-1.324174
29.965301,3.709561,-0.024982
21.672256,13.663999,1.267387
12.208332,27.392976,1.866858
6.696702,35.134849,1.430998
7.165329,31.180192,0.170054
14.049834,19.830106,-1.227317
25.451851,8.871021,-1.967352
34.625186,2.588927,-1.622201
34.398395,2.453092,-0.387645
25.611237,9.405883,1.045037
15.003437,22.633731,1.900226
7.368167,35.831729,1.743242
4.192241,38.230398,0.695885
5.934741,26.806338,-0.637297
12.859698,11.960992,-1.493464
23.421163,3.303888,-1.391337
32.715298,3.643564,-0.450299
35.615085,11.995127,0.653861
30.794442,24.632977,1.133864
20.873750,34.075507,0.651673
10.612997,32.825007,-0.431258
4.611143,22.779465,-1.318141
7.172825,11.842978,-1.347831
20.332603,4.940060,-0.438910
39.797281,3.351583,0.884956
53.333026,6.701818,1.846353
49.531588,14.054519,1.878296
30.920152,22.735321,0.940265
11.618826,27.272137,-0.456163
1.668087,23.853895,-1.529147
4.339930,15.756543,-1.693391
19.164812,8.895618,-0.942648
40.738435,5.793238,0.138947
57.238951,6.150488,0.793660
58.206073,10.434211,0.644244
44.456875,19.470148,-0.049596
24.756941,29.714646,-0.634289
8.713935,32.751765,-0.591334
1.777505,24.788243,0.079974
4.837210,12.754058,0.899149
16.853509,4.369116,1.278773
33.427981,2.629151,0.929074
44.452158,8.905879,0.030812
40.326114,23.546042,-0.889575
24.764656,40.584802,-1.283138
11.296628,46.412243,-0.922035
9.394223,34.747534,-0.066737
19.978981,17.044684,0.680418
34.730171,6.162647,0.789613
40.629224,5.899161,0.211564
32.789326,14.259488,-0.556343
18.682012,26.432081,-0.844626
8.455556,33.672559,-0.349887
7.122302,29.134716,0.607600
14.283872,16.901754,1.324069
24.790967,6.360317,1.244083
30.402495,3.239860,0.352745
26.963384,9.057910,-0.843831
18.663713,22.259795,-1.671546
11.739749,35.799420,-1.686470
8.511582,38.289450,-0.883622
8.432296,27.068222,0.340852
11.376097,12.451119,1.406258
17.129939,3.817399,1.831444
23.266183,3.551102,1.460800
25.863486,10.749413,0.521263
23.043677,24.334941,-0.519097
16.696522,38.915419,-1.203465
11.935956,43.636504,-1.304676
13.208592,33.810567,-0.905870
19.873675,18.170669,-0.322111
26.860425,7.298319,0.095018
30.328407,4.957197,0.179432
28.700476,10.550985,0.066732
22.452577,21.518920,0.091985
14.440439,32.191201,0.493912
8.577755,34.670706,1.137660
9.154324,26.055575,1.522263
18.983595,13.152754,1.142202
35.033740,5.083588,-0.051824
45.960172,7.210776,-1.496077
41.373633,20.860151,-2.346735
26.032432,40.751589,-2.067832
12.536173,51.767591,-0.808717
7.920939,41.009267,0.712386
13.727152,18.595628,1.693896
27.013156,5.248735,1.729393
38.633355,12.341987,0.982467
38.700454,36.711501,0.015550
27.598654,61.223544,-0.577202
15.216018,64.294129,-0.524401
10.921245,43.940299,-0.031181
18.086058,19.049945,0.374244
31.512629,4.102061,0.236654
40.623624,0.502423,-0.449620
39.439143,3.499532,-1.189640
30.684947,9.066484,-1.346549
20.686738,15.303296,-0.649736
13.463926,21.037019,0.560814
9.690592,24.511484,1.558803
8.911141,22.772652,1.738747
10.508886,16.111864,1.008844
14.767013,9.348140,-0.190164
23.850949,5.655463,-1.189421
40.537507,4.641921,-1.477260
62.862049,5.108937,-0.949499
76.324157,7.747750,0.064856
66.174046,15.281026,0.989625
39.994349,28.180053,1.311944
16.346051,39.460714,0.861859
6.013238,39.127482,-0.101825
9.441730,27.002631,-1.052217
21.717393,13.062274,-1.491094
35.570402,5.207027,-1.197411
44.071174,4.745794,-0.310488
43.085239,10.069431,0.754127
32.890266,19.263858,1.497794
18.990425,28.764840,1.569856
8.249218,32.444210,0.945294
4.259327,28.202471,-0.052729
6.947664,19.892092,-0.922246
14.509568,11.804557,-1.255377
24.679354,6.575320,-0.951708
35.722811,4.420789,-0.255244
44.772019,5.374054,0.390134
46.650182,10.706938,0.588608
38.726103,20.885109,0.230332
24.120911,31.612916,-0.409191
10.691220,34.577268,-0.808035
6.296685,26.865210,-0.546159
15.326837,14.570878,0.351021
35.826220,5.017714,1.355256
55.329579,2.854265,1.764715
56.616516,10.697252,1.201844
38.974704,27.775383,-0.100947
18.231622,45.756183,-1.443181
6.811485,50.104168,-2.099983
8.092942,36.733864,-1.741423
19.930011,18.529178,-0.581932
34.613123,7.818094,0.768966
40.486867,7.438372,1.634334
32.432372,15.349757,1.616202
18.255323,26.094189,0.802309
10.287832,30.252099,-0.288827
15.067627,23.235212,-1.020419
29.729642,11.980910,-1.024559
43.157209,4.772053,-0.406598
44.245858,4.941212,0.362577
32.526074,12.018636,0.768474
16.857572,22.258193,0.564314
6.196567,28.161245,-0.101988
4.415806,24.668460,-0.785032
11.484499,15.118531,-1.001260
24.752008,6.590107,-0.530197
37.302490,3.507659,0.405734
40.664296,6.130805,1.230475
32.706579,13.230823,1.373628
19.743961,22.582926,0.678989
9.148622,29.567650,-0.451506
3.960095,30.056953,-1.316378
