ECR_act,FCR_act,wrist_hand_r3_pos
37.798847,1.048969,1.061485
41.178432,1.387655,0.040678
39.950363,3.878325,-0.974958
35.254118,10.034446,-1.685187
32.197683,20.903466,-1.864150
32.078410,32.080808,-1.428136
32.259379,34.445511,-0.485290
31.143177,25.168542,0.661321
30.329386,12.196594,1.591998
32.793884,3.243976,1.933187
40.235996,0.000000,1.536665
51.139865,0.000000,0.563730
58.627303,2.534272,-0.586854
55.695015,11.362479,-1.461425
45.247135,25.783705,-1.738890
35.027143,38.006594,-1.344211
28.827897,36.584179,-0.463506
26.424489,22.931574,0.535164
27.521192,9.116913,1.251834
32.970645,2.354457,1.418306
41.923369,1.508134,1.001171
49.560338,2.055661,0.202930
49.131300,1.752915,-0.625980
41.158527,2.894341,-1.126047
33.247932,10.148387,-1.078388
29.502979,24.548223,-0.512117
28.942744,37.863001,0.294664
29.647199,37.400302,0.943843
31.369822,23.633774,1.115188
34.735822,8.942598,0.721602
40.230807,0.843519,-0.055815
46.329447,0.000000,-0.854877
48.423183,1.509395,-1.294889
42.726047,9.012138,-1.152472
33.044421,22.841138,-0.476106
26.377851,38.168671,0.430833
24.712656,43.866193,1.166267
25.798981,34.705543,1.434371
27.605691,18.887603,1.169294
31.181511,6.876970,0.516885
38.189971,1.316928,-0.275778
45.782770,0.000000,-0.967672
48.081455,0.839629,-1.375434
42.816321,7.234205,-1.384037
34.476318,20.969611,-0.959215
29.173715,36.512444,-0.181408
27.725217,40.688290,0.726989
27.139071,29.468532,1.438405
27.252866,13.928905,1.646897
31.300673,4.022228,1.229032
40.873261,1.120510,0.329397
51.868230,1.671605,-0.696118
56.130122,2.966133,-1.443239
50.560571,5.697323,-1.630492
41.319067,11.756675,-1.201427
34.546586,20.630606,-0.333262
31.132209,29.298659,0.639872
30.117359,33.951586,1.360266
31.189584,30.675508,1.582476
33.245641,20.313711,1.251488
34.520966,9.307740,0.498827
33.625428,2.294366,-0.420045
30.957522,0.000000,-1.209706
29.779062,2.279811,-1.618570
31.276475,11.673315,-1.510181
33.356093,28.348600,-0.905324
33.941926,43.984050,0.018445
32.968196,44.818804,0.970791
32.477027,29.480207,1.631140
34.309633,11.528004,1.758046
37.557271,0.890555,1.289684
39.052447,0.000000,0.380769
37.948992,0.000000,-0.653195
36.009898,4.967047,-1.456231
34.224734,15.927062,-1.757765
33.015640,31.000289,-1.460823
32.059319,40.434998,-0.673822
32.123969,35.250460,0.324563
34.844898,20.908414,1.184184
39.924366,8.127757,1.610658
44.062062,0.863923,1.467376
44.291051,0.000000,0.817077
40.762906,0.859052,-0.101987
36.254446,9.548030,-0.957404
31.905561,23.825697,-1.443718
27.963058,35.953597,-1.400124
25.727818,35.237771,-0.866964
27.016549,22.884274,-0.054230
32.031432,9.357356,0.749965
38.580772,1.157047,1.279461
43.127621,0.000000,1.366173
43.504531,0.063397,0.983336
41.452713,6.570190,0.252281
39.169264,19.741850,-0.589278
36.202682,36.153588,-1.251669
32.946897,45.153547,-1.480656
31.742387,39.621935,-1.154354
35.150908,24.238043,-0.356969
43.119316,9.595420,0.622156
50.947017,1.540200,1.391527
52.326642,0.000000,1.623978
48.124448,0.896786,1.202675
43.311513,6.661570,0.279654
38.947155,17.914689,-0.773013
34.969863,31.220775,-1.507357
32.586773,37.669360,-1.599187
32.874755,33.562287,-1.017300
34.609501,24.399543,-0.053503
35.135980,14.774292,0.829564
33.391198,7.876810,1.248339
31.713633,4.431728,1.089018
32.205054,4.017594,0.533042
34.200459,8.957805,-0.073413
35.801861,22.293527,-0.419025
35.401262,40.217743,-0.395513
32.823302,49.126532,-0.150819
30.302545,39.763273,0.016833
29.933119,20.893080,-0.117330
32.185944,6.128488,-0.508103
35.338391,0.000000,-0.837456
36.887888,0.000000,-0.743292
37.915526,1.628466,-0.118342
39.966781,7.038346,0.766942
40.783160,18.041945,1.429066
37.955983,32.480770,1.492506
33.568740,41.372442,0.914351
30.901234,37.099894,-0.033134
30.666923,22.694621,-0.957061
32.857638,8.216305,-1.541087
38.538713,0.000000,-1.630085
47.381268,0.000000,-1.213917
54.753106,0.000000,-0.389691
54.495283,7.566816,0.644663
45.702692,26.357702,1.586033
35.175228,46.224001,2.078118
28.533182,51.355702,1.853687
26.276728,37.793289,0.902997
27.124315,18.485562,-0.461907
31.133569,4.710882,-1.723170
37.902167,0.000000,-2.392085
44.441971,0.000000,-2.218170
47.364469,3.426902,-1.270499
44.848288,19.915162,0.111860
39.028070,43.026582,1.450624
34.855646,56.628228,2.290957
33.882047,47.503687,2.350754
34.046433,25.687028,1.611839
33.097265,8.033954,0.328056
30.894019,1.437262,-1.048375
28.830421,2.822340,-2.012313
29.981085,6.302477,-2.198820
39.690677,7.833340,-1.552255
59.337023,6.567239,-0.367010
78.651355,5.824851,0.847667
80.568660,12.195818,1.606341
62.922351,29.361137,1.651697
40.964870,50.445576,1.033020
26.544833,59.196429,0.055930
21.429544,46.282223,-0.853551
22.864063,22.998286,-1.321019
28.929666,5.779644,-1.172865
38.745755,0.000000,-0.499489
48.649880,0.000000,0.395082
52.406519,2.249993,1.125889
48.053429,9.203208,1.380832
40.538909,22.259325,1.043518
35.142819,37.127784,0.245598
31.544824,42.483340,-0.683481
28.162411,33.606480,-1.364244
25.849921,18.242628,-1.540701
27.473072,6.438878,-1.178177
34.367961,1.400393,-0.438796
43.001859,1.414738,0.421510
47.462449,4.612476,1.153274
45.972236,11.216138,1.566430
40.277057,22.433306,1.546749
32.474475,35.481131,1.069132
25.674100,41.068222,0.224140
23.011317,34.259543,-0.762897
26.051012,20.327796,-1.566335
35.005766,7.572011,-1.872549
48.546973,0.985572,-1.527439
61.924354,0.000000,-0.628166
67.458353,1.864155,0.502966
59.765394,6.966868,1.446121
44.855990,16.899573,1.847196
33.228866,29.259082,1.554822
29.185797,34.999374,0.685953
32.345970,28.413370,-0.413678
40.734996,15.676328,-1.312185
49.794085,6.312890,-1.673528
52.449751,3.549024,-1.386047
46.012556,4.884847,-0.585111
37.366289,6.023346,0.416484
33.553121,4.428364,1.247156
34.994435,1.859289,1.606011
37.749457,3.367528,1.366662
37.975109,14.144101,0.617493
35.682735,33.429052,-0.376247
33.240056,49.652710,-1.265016
31.464030,49.125461,-1.725496
29.744218,34.174956,-1.565826
28.645757,16.455135,-0.804909
30.540470,4.443692,0.308930
37.093702,0.059309,1.367369
45.034415,0.776675,1.946113
47.507085,4.476229,1.773519
41.736141,11.672656,0.864698
32.946228,22.682957,-0.439878
27.559582,33.186401,-1.585001
27.404968,37.253309,-2.052250
30.437459,33.525224,-1.631318
34.087359,23.936014,-0.534741
36.520233,13.247819,0.726595
35.884717,5.638942,1.615717
34.185945,1.949374,1.810259
35.816656,2.174478,1.296259
39.578220,7.480589,0.319741
40.757688,17.957993,-0.737804
37.607028,28.957589,-1.499726
33.350701,31.857739,-1.710565
30.387156,23.889189,-1.303994
28.992423,12.036143,-0.416188
29.707779,3.699880,0.650435
33.776696,0.264797,1.513605
41.347051,0.000000,1.843469
48.694863,2.215962,1.499295
48.867780,11.094084,0.597917
41.811775,27.966731,-0.530677
33.822121,45.278196,-1.475289
28.900462,50.029821,-1.896546
28.567300,38.840482,-1.645923
33.610328,20.749591,-0.818519
42.607119,7.254410,0.281562
52.289489,1.796648,1.259272
57.780044,1.879382,1.780463
54.476003,5.239464,1.686576
44.242375,11.233174,1.032409
34.345744,18.087671,0.053056
28.520878,21.344263,-0.917648
26.654226,18.400342,-1.556558
28.763233,11.499516,-1.658248
34.822964,4.787090,-1.200124
41.874764,1.392213,-0.343828
43.719536,3.046904,0.618711
38.518861,10.935841,1.355540
31.971687,24.158041,1.604105
28.280323,35.648345,1.270246
27.445009,35.859575,0.472155
27.559366,25.416506,-0.497964
28.496382,13.618924,-1.278848
33.261421,5.943333,-1.570141
43.746332,2.302357,-1.247728
55.024970,0.720065,-0.426159
57.995770,0.961572,0.571207
51.205419,5.204655,1.342106
41.470262,15.148879,1.578737
34.457116,27.687724,1.193138
31.039529,34.191246,0.339346
28.520648,28.993217,-0.657252
24.833497,17.650081,-1.421546
22.058074,8.627320,-1.662965
23.822454,4.313997,-1.283417
30.301856,2.391889,-0.415560
37.294253,1.802765,0.628470
38.625935,5.985935,1.472590
33.969425,19.040332,1.808214
28.465563,37.842834,1.502494
26.520079,49.284117,0.653295
29.562862,43.497456,-0.438555
36.325490,25.695560,-1.383746
43.381727,8.867195,-1.856581
46.032400,0.433133,-1.708552
42.507952,0.000000,-1.000810
36.450870,4.214435,0.033418
32.379459,12.132749,1.065754
31.022026,21.450763,1.767595
30.380466,26.961462,1.905164
29.333712,24.387404,1.412346
29.433324,15.589023,0.423367
33.110593,6.692665,-0.746479
41.061808,1.166347,-1.685277
51.109751,0.000000,-2.031562
59.116816,0.417956,-1.632507
60.005638,7.086914,-0.625713
51.768009,20.272640,0.609085
39.790901,34.915557,1.601995
31.222184,40.327811,1.974400
28.202186,33.540076,1.584078
28.810413,20.965826,0.588061
30.986282,10.184398,-0.611548
34.305262,4.596235,-1.535113
38.453297,2.369592,-1.832352
41.979300,2.126828,-1.419703
43.298912,7.280445,-0.488002
40.828972,21.861676,0.596370
35.509568,41.534838,1.434964
30.133923,51.286002,1.734934
27.127483,41.811153,1.404575
29.252629,22.549039,0.575579
37.719722,7.041389,-0.455414
48.885124,0.360799,-1.334747
53.739725,0.260215,-1.763952
47.349128,3.951599,-1.588890
36.824986,11.698984,-0.851916
30.971514,24.262391,0.211171
30.705100,36.476623,1.240635
31.522226,37.915383,1.870186
30.374459,26.914788,1.852368
29.349267,13.109319,1.155847
33.675022,4.163478,0.002921
46.338685,0.670022,-1.186643
63.195048,1.144909,-1.951781
72.852772,6.564502,-1.986219
66.512078,19.921940,-1.272031
50.435828,39.456229,-0.084677
36.951557,51.873697,1.119113
31.536373,44.020652,1.875900
34.006608,23.587525,1.895468
41.376439,5.906299,1.184325
48.627845,0.000000,0.048266
50.513078,0.000000,-1.043894
45.968629,6.403466,-1.667730
38.218725,21.182820,-1.611575
31.779375,38.355385,-0.937694
29.347894,44.776344,0.062280
30.303457,33.078642,0.984893
31.894338,15.256350,1.469219
32.062878,8.284435,1.337812
30.772838,18.874293,0.663436
30.677042,38.181444,-0.268920
36.281663,46.369641,-1.080001
47.704239,33.687722,-1.441207
57.936692,14.049882,-1.200331
59.450593,4.875693,-0.448716
51.576619,13.623064,0.507653
40.242345,35.002330,1.277422
31.382237,51.343692,1.554178
27.261605,45.906391,1.236776
26.762704,25.366760,0.448713
27.711386,6.901627,-0.526721
29.098178,0.000000,-1.349793
31.182392,0.000000,-1.732271
34.017960,7.126929,-1.527320
34.909746,17.996159,-0.778526
33.611312,27.447533,0.286261
33.410054,27.762369,1.314429
35.639108,19.956538,1.933643
37.934330,17.776221,1.887101
36.462237,28.984752,1.153600
32.306514,44.414106,-0.018022
32.766429,46.991498,-1.198057
44.125297,33.739751,-1.948712
63.614718,15.980180,-1.993774
76.792618,4.087396,-1.318917
71.404216,1.817235,-0.178393
54.502916,8.934680,0.995033
38.938973,21.705512,1.757610
30.434361,31.253683,1.835515
27.321254,28.917609,1.230825
27.585020,17.655766,0.205055
31.668858,7.200095,-0.835704
39.161783,2.222900,-1.495954
46.778955,1.932288,-1.536729
49.836961,5.388268,-0.969087
45.309817,14.871963,-0.050984
36.651071,31.370551,0.825152
28.922693,46.358858,1.303618
24.766900,46.159960,1.209960
26.062087,30.942383,0.610519
34.193103,13.286299,-0.222025
47.788570,3.118910,-0.920308
59.728370,1.003620,-1.179202
60.634414,2.157452,-0.896480
50.072566,2.633899,-0.220224
36.635014,2.783767,0.529948
27.637652,7.169212,1.019993
24.826594,20.910424,1.047357
25.682143,42.099221,0.613663
27.316806,57.705715,-0.087755
29.750074,54.916577,-0.755106
33.094101,36.677302,-1.104620
37.074864,16.850471,-0.991143
41.386049,5.439410,-0.464775
43.366517,2.570210,0.261493
39.271741,4.401087,0.905365
32.241371,8.410079,1.220077
28.834011,14.131262,1.076962
29.932704,20.078594,0.510444
31.535981,22.072923,-0.287571
30.846062,18.319862,-1.029189
29.507644,12.041876,-1.429730
31.600877,6.976295,-1.310301
38.461255,4.237938,-0.673364
46.494429,2.927746,0.274242
51.421802,2.909742,1.176849
51.874744,5.795719,1.666411
47.251088,14.367253,1.526223
39.049191,29.028313,0.792712
31.093792,41.951008,-0.259680
26.737268,41.143661,-1.232472
26.922539,27.409771,-1.756503
29.643937,12.128030,-1.630150
31.557802,3.716916,-0.898935
31.375782,2.588536,0.160110
31.441689,4.193597,1.152338
33.823570,4.427076,1.723348
37.373312,3.059699,1.682573
39.005930,3.769266,1.050973
37.373882,11.394580,0.041219
34.445193,26.898042,-1.007949
31.603288,42.610018,-1.730849
27.881474,46.676620,-1.850747
23.257377,35.516839,-1.281838
20.648649,18.350286,-0.184705
23.529465,5.881668,1.053163
30.779276,0.142470,1.935487
36.081196,0.000000,2.062692
35.180381,3.133092,1.338294
30.687726,17.184175,0.044855
27.014036,40.286656,-1.277300
25.751739,59.274125,-2.080380
25.545239,58.991738,-2.044372
25.256906,42.362615,-1.193738
26.606428,21.827041,0.125456
32.708539,6.875434,1.384926
45.326185,0.142133,2.086540
61.316816,0.929895,1.968290
71.910993,10.311946,1.105590
69.219704,30.494152,-0.140777
55.265528,56.550384,-1.290262
40.367509,69.605839,-1.934824
30.399538,55.419249,-1.884432
26.451351,27.748119,-1.220102
28.271975,6.386698,-0.231906
35.089583,0.000000,0.733345
44.743249,0.000000,1.426019
51.406560,0.917176,1.749550
48.778525,7.909177,1.698826
38.388311,21.242101,1.267787
27.993719,39.196394,0.440313
22.542632,50.662591,-0.706591
