ECR_act,FCR_act,wrist_hand_r3_pos
2.034629,1.542338,0.000377
1.716593,1.457684,0.00073
1.701556,1.481194,0.000396
1.944873,1.538936,-0.000436
2.070335,1.50641,-0.001212
1.988046,1.435786,-0.001319
1.970495,1.494762,-0.000484
2.223992,1.69748,0.001013
2.629949,1.87836,0.002441
2.803137,1.879752,0.002994
2.55487,1.712156,0.002216
2.096106,1.48278,0.000267
1.834055,1.301572,-0.002092
1.897049,1.243383,-0.003822
2.154416,1.307458,-0.004122
2.535418,1.486382,-0.002878
2.968581,1.67665,-0.000714
3.035031,1.712278,0.001425
2.524821,1.559463,0.002853
1.807693,1.350175,0.003435
1.36681,1.273641,0.003414
1.395673,1.367479,0.002992
1.689269,1.495445,0.002092
1.878921,1.508437,0.000517
1.876603,1.381939,-0.001678
1.967225,1.283173,-0.003968
2.187064,1.345819,-0.005517
2.308912,1.529954,-0.00561
2.271867,1.725081,-0.004023
2.211743,1.845091,-0.001118
2.213116,1.802973,0.00231
2.162672,1.598348,0.005275
1.892053,1.341979,0.00684
1.52681,1.157037,0.006367
1.345243,1.124722,0.003772
1.423334,1.203398,-0.000257
1.571494,1.319266,-0.004262
1.602919,1.437642,-0.006434
1.593078,1.53469,-0.005483
1.63395,1.566342,-0.001536
1.742173,1.553847,0.003596
1.963675,1.536792,0.007166
2.126862,1.452284,0.006895
1.963624,1.238239,0.002206
1.655032,1.011762,-0.005329
1.475984,0.912252,-0.012486
1.431828,0.966194,-0.015654
1.437976,1.169408,-0.01246
1.562608,1.492569,-0.003113
1.794123,1.7629,0.009341
1.909535,1.767214,0.020165
1.73511,1.500237,0.024938
1.45681,1.196733,0.021354
1.486896,1.094617,0.010086
2.023039,1.228447,-0.005427
2.656564,1.424624,-0.02008
2.654793,1.445452,-0.028845
1.965919,1.274562,-0.028546
1.196989,1.102332,-0.018939
0.891334,1.1258,-0.002755
1.170653,1.393879,0.015102
1.71654,1.699921,0.028909
2.04208,1.745789,0.033852
1.918634,1.501149,0.02777
1.501423,1.195927,0.012148
1.066092,0.988954,-0.008234
0.841554,0.917346,-0.026979
0.880326,0.965762,-0.038366
1.026545,1.081491,-0.039281
1.099101,1.195021,-0.029874
1.061469,1.262143,-0.012594
1.036166,1.311101,0.009578
1.19973,1.35408,0.033945
1.627408,1.343176,0.05686
2.202839,1.394545,0.07151
2.621346,1.685462,0.067819
2.659891,2.159156,0.037103
