ECR_act,FCR_act,wrist_hand_r3_pos
18.765351,3.969425,4.1e-05
22.080316,3.924818,-0.004564
26.570616,3.845775,-0.006788
29.223449,3.715941,-0.005398
25.720369,3.574884,-0.000977
18.329038,3.31559,0.004306
12.958974,2.944306,0.007824
12.859971,2.797105,0.007915
16.12005,2.864826,0.004692
18.951077,2.951105,-0.000202
20.287967,3.08922,-0.004603
19.611228,3.262282,-0.006864
16.548717,3.287537,-0.006459
13.45353,3.109385,-0.003999
11.730335,2.779672,-0.00082
10.400487,2.505512,0.001699
9.326028,2.571799,0.002766
9.706077,2.81541,0.002451
11.616689,2.922821,0.001485
13.979751,2.852604,0.00074
16.18953,2.610988,0.00072
18.373468,2.243974,0.001304
20.406,1.929598,0.001858
20.537402,1.974948,0.001662
18.851987,2.400425,0.000446
16.822042,2.870615,-0.001318
14.583711,3.116324,-0.002635
12.349052,3.120957,-0.002701
11.999031,2.918989,-0.001588
14.331945,2.691968,-0.000267
17.361757,2.608791,0.00017
19.963377,2.60285,-0.000515
23.629161,2.599175,-0.001435
27.866933,2.664181,-0.001336
28.705224,2.820236,0.000246
24.462191,2.857548,0.002489
20.001156,2.588361,0.003932
19.191914,2.244827,0.003702
20.93212,2.247888,0.002194
23.865663,2.662488,0.000599
27.778882,3.124509,-0.000224
30.102393,3.2209,-0.000481
28.238093,2.932755,-0.001115
22.814716,2.609164,-0.00276
16.505386,2.439564,-0.004952
13.185043,2.392606,-0.006277
14.109417,2.378664,-0.005362
17.879756,2.404179,-0.001924
22.651704,2.519428,0.00283
27.426299,2.67092,0.006725
31.551698,2.626103,0.0078
34.979692,2.217147,0.005543
36.240053,1.73501,0.001457
34.006531,1.542015,-0.00165
30.751672,1.764735,-0.001506
30.215554,2.283942,0.001793
35.121444,2.691228,0.005496
42.369231,2.603727,0.005958
43.734377,2.083158,0.001279
37.725017,1.486417,-0.007208
31.517944,1.232864,-0.01567
30.742653,1.518159,-0.020039
32.285224,2.085562,-0.018077
30.192599,2.463217,-0.010028
26.169542,2.461884,0.002046
25.184853,2.262483,0.01535
28.818847,2.170775,0.027012
34.405006,2.301966,0.034122
37.394321,2.41126,0.033692
35.700451,2.294876,0.02327
32.749302,2.193672,0.002545
31.941093,2.315827,-0.024774
33.417928,2.517747,-0.050238
35.045049,2.520862,-0.062496
35.90248,2.274216,-0.052102
37.796433,2.060257,-0.017893
40.998821,1.978164,0.028875
41.809982,1.863092,0.067221
37.642156,1.675778,0.076997
31.144739,1.555841,0.051545
26.088915,1.591056,0.003068
25.604532,1.711771,-0.044138
29.893988,1.829433,-0.067926
34.105745,1.914282,-0.05992
33.408453,1.917641,-0.027622
28.650772,1.767355,0.012171
22.673,1.503106,0.042836
17.137871,1.240269,0.054765
13.925404,1.106591,0.047163
13.81538,1.143307,0.025463
15.538495,1.256234,-0.002846
16.829083,1.346934,-0.030857
16.205659,1.409715,-0.052132
14.852502,1.511461,-0.05966
14.803749,1.738048,-0.047071
16.235872,2.074881,-0.013263
17.949045,2.435249,0.032336
19.534098,2.861549,0.069471
20.748582,3.295536,0.07588
20.166567,3.363273,0.042705
18.064607,2.88744,-0.01432
17.058232,2.163178,-0.060191
18.795181,1.756345,-0.063757
24.042454,1.957451,-0.022826
32.451241,2.555366,0.031012
38.563642,3.004421,0.055615
35.486702,2.907441,0.032117
26.049673,2.435058,-0.019699
17.669913,1.962651,-0.058367
12.592839,1.662874,-0.055049
9.934132,1.52166,-0.015177
10.686517,1.620761,0.02969
15.619415,1.988843,0.049657
21.510159,2.34784,0.038433
22.995752,2.457606,0.012754
19.168162,2.447373,-0.005746
13.899078,2.436827,-0.008035
10.40581,2.357743,-0.000997
9.538368,2.076434,0.002418
11.436027,1.715802,-0.004819
15.407165,1.603298,-0.019316
19.871006,1.903282,-0.031486
23.024247,2.370638,-0.032995
23.63317,2.576671,-0.021484
21.23747,2.437976,-0.000581
18.782204,2.302672,0.022882
20.671946,2.571711,0.041584
25.264575,3.185833,0.049162
26.706169,3.665227,0.041337
24.027956,3.571698,0.017975
21.064642,3.083387,-0.014572
20.354135,2.745182,-0.043731
20.553157,2.751694,-0.055725
20.355355,2.81029,-0.043391
19.955349,2.58245,-0.011382
19.572832,2.158977,0.025458
18.841249,1.867394,0.049809
17.237874,1.954726,0.050903
14.400754,2.346428,0.02975
12.807801,2.658333,-0.002165
14.821353,2.499053,-0.030121
18.607612,1.906458,-0.045313
19.480145,1.393643,-0.049632
15.619399,1.768264,-0.051329
10.205881,3.631789,-0.053483
6.18985,6.673127,-0.045199
4.431999,9.346043,-0.006685
4.582219,10.003463,0.070739
6.001071,8.178912,0.164459
8.695094,5.399787,0.221594
13.699225,3.683627,0.189211
22.8024,3.481784,0.055614
36.508641,3.954091,-0.130718
51.017607,4.237974,-0.284062
57.194303,4.247729,-0.331717
49.843212,4.776683,-0.254568
35.265642,7.259094,-0.090919
20.945621,11.733851,0.092458
10.823858,15.071768,0.235884
6.020097,13.718049,0.305301
7.111244,9.091692,0.289916
16.176745,5.013027,0.193216
32.461618,2.840533,0.033092
47.899122,1.950608,-0.149426
51.682763,2.330172,-0.290652
40.103055,5.380593,-0.328601
21.309787,12.224169,-0.240695
7.059252,20.451503,-0.063774
1.851249,23.365796,0.124336
3.626384,17.652397,0.249019
9.006994,8.688078,0.274859
15.55374,2.68661,0.211044
22.238541,1.145707,0.092325
31.509791,2.211177,-0.042574
45.154713,3.556503,-0.160544
55.296587,4.218711,-0.233778
50.847851,5.40094,-0.240221
33.996127,9.61318,-0.170988
15.817274,16.992281,-0.040466
4.884645,22.699451,0.111387
2.15589,21.215989,0.23069
5.206269,13.754533,0.270768
12.659909,6.206642,0.211959
23.51921,2.046789,0.071881
33.674671,0.859838,-0.09729
37.351137,1.625365,-0.226275
32.274963,5.400761,-0.25872
21.547518,13.389748,-0.180923
10.743451,22.486946,-0.031383
3.102232,25.048794,0.1194
