ECR_act,FCR_act,wrist_hand_r3_pos
11.466201,1.677943,0.000287
8.624383,1.674393,-0.003551
6.966329,1.759314,-0.007173
7.025606,1.855279,-0.009859
8.103532,1.803398,-0.010436
9.271590,1.598099,-0.007877
9.837906,1.423948,-0.002230
9.672393,1.378906,0.004788
9.066091,1.459247,0.010238
8.655523,1.625851,0.011508
8.701907,1.804614,0.008016
8.579045,1.901832,0.001728
8.048019,1.914158,-0.004052
8.024875,1.864546,-0.006727
9.261032,1.730404,-0.005758
10.971551,1.579696,-0.002490
11.604768,1.511042,0.001065
10.519022,1.549394,0.003372
9.040510,1.626324,0.003766
8.810554,1.657687,0.002251
10.193242,1.636703,-0.000721
12.015893,1.607531,-0.004203
12.839085,1.626098,-0.006671
12.758139,1.677031,-0.006436
12.164358,1.666239,-0.002682
10.655362,1.561741,0.003508
8.534955,1.463401,0.009186
7.434470,1.456733,0.011079
8.302847,1.574658,0.007745
10.583010,1.764958,0.000713
13.135071,1.911170,-0.006377
14.481955,1.902438,-0.010009
13.639496,1.770189,-0.008801
11.392763,1.611307,-0.004051
9.804046,1.543944,0.001262
10.135137,1.617228,0.004294
11.999727,1.735669,0.003970
13.483269,1.831418,0.001560
12.822667,1.824564,-0.000251
10.576007,1.682714,0.000587
9.158273,1.543077,0.003670
9.838735,1.540155,0.006141
11.440852,1.647220,0.004849
12.035692,1.751745,-0.000860
11.489999,1.743847,-0.008098
10.895564,1.669892,-0.012223
10.985882,1.634240,-0.010181
11.612681,1.624231,-0.002756
12.304428,1.629643,0.005918
12.070665,1.687261,0.011057
10.450541,1.787067,0.010122
8.402705,1.854938,0.004165
7.286873,1.813530,-0.002891
7.745998,1.735761,-0.006567
9.190311,1.729937,-0.004568
10.310030,1.762044,0.001561
10.629189,1.813761,0.007196
10.435078,1.867444,0.007720
9.561383,1.826175,0.001941
8.064651,1.663341,-0.006830
6.889045,1.493651,-0.013075
7.151223,1.430457,-0.012979
8.857642,1.485277,-0.006910
11.124004,1.555065,0.001300
12.366262,1.554854,0.007288
12.104101,1.546019,0.008909
10.918324,1.562102,0.007046
9.639356,1.592537,0.004465
9.885822,1.654242,0.003796
11.488299,1.681259,0.005806
11.676668,1.602871,0.008731
9.477199,1.473704,0.009078
7.313503,1.385167,0.003690
7.054109,1.406214,-0.007889
8.589610,1.606143,-0.022220
10.905384,1.911066,-0.032858
12.496436,2.080853,-0.033113
12.318667,1.968282,-0.019472
11.030737,1.651760,0.005743
9.839705,1.366778,0.033905
8.888165,1.290572,0.052887
8.136766,1.429913,0.052786
8.118249,1.690713,0.031763
9.439043,1.953616,-0.002065
11.882879,2.098594,-0.034527
14.205734,2.108239,-0.052676
14.677163,2.027381,-0.050746
13.262387,1.882935,-0.031711
11.385538,1.687836,-0.004733
10.042312,1.496263,0.019382
9.621087,1.383291,0.032651
9.843365,1.397961,0.032710
10.391749,1.451249,0.022886
11.092752,1.414113,0.009596
11.076317,1.379839,-0.001328
9.767740,1.481912,-0.007236
7.733045,1.656291,-0.008985
6.208666,1.744378,-0.009314
6.230399,1.720325,-0.010510
7.895526,1.682041,-0.012662
10.286658,1.643158,-0.013422
11.803550,1.576307,-0.009625
11.916226,1.545915,-0.000058
10.863505,1.643264,0.012483
9.365129,1.875751,0.021888
8.348875,2.123016,0.022426
8.226857,2.147008,0.013016
8.932913,1.878247,-0.001481
9.444498,1.516672,-0.013374
8.974084,1.317575,-0.017326
8.296506,1.342322,-0.013466
8.509027,1.464928,-0.006213
9.516630,1.527109,-0.000325
10.705682,1.482047,0.002314
11.976276,1.401129,0.002938
12.728393,1.330059,0.003740
12.238423,1.316073,0.005593
11.242410,1.428597,0.007443
10.130235,1.625358,0.007411
8.525176,1.747510,0.004414
7.345665,1.737777,-0.000908
7.296799,1.622361,-0.006405
7.546949,1.415712,-0.009509
7.381285,1.236135,-0.008617
7.501725,1.225997,-0.004068
8.712932,1.373425,0.001889
