ECR_act,FCR_act,wrist_hand_r3_pos
14.297901,1.107185,-0.000072
14.333864,1.154717,-0.002225
13.789572,1.211425,-0.003896
12.204861,1.276498,-0.004655
10.940140,1.322944,-0.004262
10.785447,1.297416,-0.002728
11.191597,1.178856,-0.000344
12.059488,1.066534,0.002356
13.432906,1.057545,0.004689
14.023445,1.136113,0.005970
13.178602,1.222020,0.005685
11.974825,1.267455,0.003651
11.268966,1.268625,0.000166
11.556430,1.188625,-0.003885
12.292949,1.051204,-0.007098
12.150796,0.950718,-0.007977
10.718430,0.931873,-0.005688
9.299153,0.958827,-0.000765
9.282946,0.990621,0.004737
10.641934,1.063620,0.007970
12.177196,1.200077,0.006805
12.767319,1.335922,0.001430
12.700367,1.387788,-0.005095
12.623130,1.330191,-0.008269
12.336669,1.208916,-0.005225
11.528206,1.084931,0.002631
10.638302,0.988611,0.009918
10.335673,0.929475,0.011036
10.708243,0.943484,0.004677
11.194421,1.059999,-0.004801
11.406847,1.208091,-0.010697
11.446609,1.279495,-0.009324
11.844613,1.298833,-0.002765
12.936516,1.332797,0.003263
14.907391,1.363332,0.004336
17.069769,1.335116,0.000655
17.986251,1.258174,-0.003769
16.864217,1.214118,-0.004828
14.581602,1.239226,-0.001455
13.162846,1.272692,0.004097
12.314182,1.253522,0.008402
11.503701,1.192921,0.009235
11.806935,1.101116,0.006492
13.295148,0.998506,0.001602
15.090319,0.973353,-0.003565
17.226389,1.084942,-0.007430
19.242892,1.274397,-0.008941
19.607986,1.450022,-0.007676
17.284738,1.528249,-0.004071
13.830921,1.429498,0.000444
11.735115,1.193329,0.003874
12.009082,1.008223,0.004784
13.870906,1.010643,0.003367
15.449264,1.142776,0.001414
15.366656,1.263235,0.000894
14.172989,1.342670,0.002202
12.835031,1.425942,0.003688
12.153341,1.505435,0.003099
13.117737,1.522383,-0.000248
15.434912,1.468259,-0.004579
16.159280,1.396231,-0.006988
13.999693,1.335530,-0.005860
11.773601,1.285059,-0.002206
11.523765,1.208609,0.001286
12.073110,1.113586,0.002557
