ECR_act,FCR_act,wrist_hand_r3_pos
51.602141,7.305067,-1.113278
34.589352,10.689177,0.732646
19.718137,15.036993,2.446718
10.056315,17.369015,3.243748
5.816283,16.208982,2.803945
9.986703,12.968311,1.351742
25.343562,9.807052,-0.533067
47.078470,8.588295,-2.195375
60.449756,8.687159,-3.131970
53.586236,8.130310,-3.109532
32.509625,7.239609,-2.178090
13.252786,8.148668,-0.617791
4.104993,10.995634,1.137912
3.325830,13.185387,2.589907
6.283548,12.088899,3.288047
11.973256,8.537647,2.969574
23.083662,5.901511,1.673669
39.657450,5.727398,-0.225710
53.379701,6.610659,-2.099982
52.600188,6.751974,-3.261552
37.583022,7.151658,-3.236411
18.889608,10.020039,-2.001897
5.769737,14.928543,-0.038013
0.683714,18.128568,1.873016
3.265474,16.138121,2.993966
14.122087,11.013837,2.931532
32.363003,7.245411,1.758735
50.224057,6.186043,-0.044899
54.870770,7.000805,-1.782098
41.934995,9.863608,-2.794363
21.899693,15.325153,-2.705385
6.335113,20.599814,-1.556709
0.000000,20.663890,0.214856
0.930750,15.595180,1.935190
13.118648,9.896606,2.929630
36.076368,7.085813,2.779544
60.038037,6.901618,1.513559
67.313085,7.332536,-0.375406
52.486566,8.458594,-2.131633
28.185776,12.589799,-3.062874
10.618127,19.922618,-2.820067
4.940972,25.464921,-1.514470
7.027226,24.384410,0.340447
12.150109,17.491565,2.024480
18.203359,9.380761,2.888320
23.356349,4.251568,2.616972
25.537506,2.691145,1.356497
26.225685,3.013290,-0.357953
29.222266,3.825904,-1.825039
33.154697,5.421230,-2.449386
33.464677,9.500024,-1.978398
28.005000,16.961123,-0.631071
18.523189,25.393984,0.960266
10.789322,29.397998,2.019435
10.482449,24.850476,1.999508
19.067102,15.122527,0.862748
34.145923,7.369405,-0.877460
48.991257,4.181667,-2.365472
54.339630,3.739819,-2.780971
45.261180,4.019112,-1.753372
28.605359,5.140001,0.375824
14.822161,8.243992,2.639933
8.478681,13.320977,3.918119
7.266761,18.663937,3.541430
7.447555,21.733894,1.643511
10.151676,20.147027,-0.954068
20.711791,14.527740,-3.191377
40.027822,8.974241,-4.245493
58.046304,6.044021,-3.809228
60.734438,5.190711,-2.126744
46.083051,5.452771,0.162373
26.027212,7.147767,2.286664
11.618621,10.602934,3.606577
5.106635,15.081254,3.783176
4.461974,19.172214,2.825912
8.946712,20.765049,1.054398
19.726071,17.609904,-0.993966
37.128509,11.953537,-2.703445
54.448262,7.367431,-3.549420
59.285589,4.554421,-3.256165
47.043202,3.347854,-1.899255
26.859727,5.063727,0.085368
11.571661,11.535700,2.021107
5.192760,21.678992,3.233205
5.261074,29.085669,3.317833
9.856983,27.117213,2.292266
20.435689,17.963238,0.551631
39.088761,9.249201,-1.312658
60.864956,5.219943,-2.719314
71.448920,4.720939,-3.255308
64.118924,5.104314,-2.768851
50.346900,5.788841,-1.398707
39.194309,7.538277,0.457524
28.346601,10.835197,2.231781
18.133875,15.257985,3.331645
12.624418,18.378921,3.336189
14.938084,17.265955,2.181707
26.663442,12.862370,0.230683
43.755297,8.620210,-1.841390
53.730716,5.831099,-3.295123
47.571689,4.347749,-3.597225
