ECR_act,FCR_act,wrist_hand_r3_pos
34.638133,2.262305,-2.198820
36.966609,1.142810,-1.552255
38.456735,2.086510,-0.367010
38.900214,6.713715,0.847667
36.928520,16.408215,1.606341
33.432644,27.536778,1.651697
30.332604,31.548431,1.033020
28.197836,25.265903,0.055930
27.309525,14.742975,-0.853551
28.575368,6.025577,-1.321019
33.397480,1.240688,-1.172865
41.965400,0.209428,-0.499489
49.182195,3.583883,0.395082
48.400185,14.234874,1.125889
41.309885,32.620614,1.380832
33.796078,49.487766,1.043518
28.711917,51.200807,0.245598
25.781193,35.970480,-0.683481
24.601081,16.300585,-1.364244
26.794366,3.483767,-1.540701
33.469874,0.000000,-1.178177
40.693913,0.000000,-0.438796
43.013456,1.395738,0.421510
40.283605,7.966143,1.153274
35.247577,18.606481,1.566430
30.933078,28.381624,1.546749
29.341063,29.591296,1.069132
30.828913,21.276812,0.224140
35.119417,10.690378,-0.762897
41.836369,4.011526,-1.566335
48.928083,1.993879,-1.872549
51.426464,2.575868,-1.527439
46.604910,4.583832,-0.628166
37.658538,9.360208,0.502966
31.351191,18.827894,1.446121
29.715410,30.385121,1.847196
30.192287,37.357416,1.554822
31.135152,34.227888,0.685953
33.534459,22.398853,-0.413678
39.228753,10.031105,-1.312185
47.460946,2.682994,-1.673528
54.448206,0.313958,-1.386047
57.334305,1.133063,-0.585111
53.338744,4.584037,0.416484
43.330813,10.894440,1.247156
33.387842,19.085649,1.606011
28.268354,26.722621,1.366662
28.028932,31.484978,0.617493
30.009245,30.234048,-0.376247
31.757639,22.107703,-1.265016
32.065834,11.657174,-1.725496
31.481297,3.670503,-1.565826
32.041690,0.245449,-0.804909
34.294669,2.784626,0.308930
35.534177,12.814757,1.367369
34.079666,28.188557,1.946113
31.135156,39.391169,1.773519
28.770909,36.222406,0.864698
28.694871,22.393572,-0.439878
33.091236,9.224456,-1.585001
42.811485,2.215876,-2.052250
53.207599,0.314060,-1.631318
55.445030,0.580918,-0.534741
48.890610,2.805028,0.726595
41.283440,10.116262,1.615717
37.478316,24.317829,1.810259
36.065247,39.438942,1.296259
35.396192,43.710982,0.319741
35.432044,33.683758,-0.737804
36.972322,17.896143,-1.499726
41.029080,6.141066,-1.710565
47.401527,1.032929,-1.303994
52.689953,0.390991,-0.416188
51.132267,3.084858,0.650435
43.604889,10.740502,1.513605
35.893394,23.873887,1.843469
31.009456,36.131087,1.499295
28.499517,36.734135,0.597917
27.343748,24.793612,-0.530677
28.061096,10.760609,-1.475289
32.069132,2.659498,-1.896546
40.080877,0.578191,-1.645923
50.050633,0.626362,-0.818519
54.469112,1.065766,0.281562
48.054401,5.051474,1.259272
37.823682,17.256509,1.780463
31.831925,35.910842,1.686576
30.552870,48.343060,1.032409
30.797627,42.992420,0.053056
30.878090,25.618027,-0.917648
31.686014,10.168433,-1.556558
34.625904,2.652153,-1.658248
39.070609,0.917833,-1.200124
41.379333,1.858490,-0.343828
38.725344,5.187789,0.618711
34.024126,12.756285,1.355540
31.946962,24.494234,1.604105
32.228090,34.029393,1.270246
32.053732,32.743031,0.472155
30.743678,21.335030,-0.497964
30.590700,9.015683,-1.278848
34.425893,1.705524,-1.570141
43.237378,0.000000,-1.247728
54.079519,0.000000,-0.426159
58.939100,4.419430,0.571207
53.076338,15.136870,1.342106
41.987558,30.114644,1.578737
32.780739,39.303097,1.193138
27.782770,33.385250,0.339346
26.352115,18.448752,-0.657252
28.626691,6.349178,-1.421546
35.339483,1.693288,-1.662965
44.586426,1.701862,-1.283417
50.476420,2.039021,-0.415560
47.281558,1.732417,0.628470
38.556159,4.191201,1.472590
31.710224,13.755470,1.808214
29.118502,29.127013,1.502494
29.059285,39.516321,0.653295
30.020820,34.278381,-0.438555
32.142996,18.954494,-1.383746
36.116924,5.822985,-1.856581
42.093833,0.000000,-1.708552
47.593092,0.000000,-1.000810
47.583728,3.065277,0.033418
39.970772,12.419602,1.065754
30.595335,27.569344,1.767595
25.436018,41.286837,1.905164
24.877175,42.603006,1.412346
26.264864,30.238127,0.423367
28.348133,14.730916,-0.746479
32.874239,4.677759,-1.685277
40.593431,0.561185,-2.031562
47.213040,0.000000,-1.632507
47.253513,1.990411,-0.625713
40.395653,10.507716,0.609085
32.458655,25.806719,1.601995
28.481030,39.444886,1.974400
27.565736,38.687896,1.584078
26.988905,24.816441,0.588061
27.868624,10.261094,-0.611548
33.568911,2.577396,-1.535113
44.251601,1.102160,-1.832352
54.125774,2.001352,-1.419703
55.380984,3.513894,-0.488002
47.893585,7.065938,0.596370
38.973875,14.153750,1.434964
33.259860,23.313560,1.734934
30.611590,31.261616,1.404575
30.234294,33.916008,0.575579
31.765040,28.170214,-0.455414
33.767272,16.889347,-1.334747
34.528357,6.784809,-1.763952
32.915865,1.137105,-1.588890
30.326575,0.011585,-0.851916
29.995426,4.171981,0.211171
31.935346,15.923805,1.240635
33.732761,33.614774,1.870186
33.755747,46.207305,1.852368
32.664144,41.561046,1.155847
32.742889,23.908619,0.002921
35.234017,7.523264,-1.186643
38.292818,0.000000,-1.951781
38.930314,0.000000,-1.986219
37.410039,0.740714,-1.272031
35.442546,7.493940,-0.084677
33.823333,20.158560,1.119113
32.717372,34.885993,1.875900
31.891910,40.498598,1.895468
32.595374,31.492184,1.184325
36.174126,16.715821,0.048266
41.402395,5.449305,-1.043894
44.591832,0.000000,-1.667730
43.548846,0.000000,-1.611575
39.449804,2.669830,-0.937694
34.981002,13.298906,0.062280
30.686389,28.095823,0.984893
27.050487,37.348427,1.469219
25.683358,32.414809,1.337812
28.143584,18.657922,0.663436
33.917966,6.327958,-0.268920
40.262775,0.000000,-1.080001
43.661423,0.000000,-1.441207
43.013866,1.340653,-1.200331
40.802168,9.698156,-0.448716
38.407177,24.545357,0.507653
35.212075,40.052845,1.277422
32.255942,45.044066,1.554178
32.182307,35.716628,1.236776
37.108874,19.503165,0.448713
45.720308,6.524138,-0.526721
52.166337,0.418993,-1.349793
51.425216,0.000000,-1.732271
46.671315,2.052000,-1.527320
42.017139,9.375861,-0.778526
37.729243,21.903499,0.286261
34.035298,34.186877,1.314429
32.401985,37.402561,1.933643
33.340420,31.157914,1.887101
34.994100,21.503971,1.153600
34.815034,12.395666,-0.018022
32.753654,6.562057,-1.198057
31.614882,3.963697,-1.948712
32.714947,4.723627,-1.993774
34.777542,11.925981,-1.318917
35.954456,27.481609,-0.178393
34.806855,44.420447,0.995033
31.968670,48.236371,1.757610
29.918809,34.563089,1.835515
30.346753,15.790493,1.230825
33.139117,3.494595,0.205055
35.997962,0.000000,-0.835704
37.106618,0.000000,-1.495954
38.438656,2.743999,-1.536729
40.497399,9.609089,-0.969087
40.328535,22.173166,-0.050984
36.671415,36.104131,0.825152
32.533163,41.591258,1.303618
30.603357,33.539743,1.209960
31.016665,18.105764,0.610519
34.100156,5.003431,-0.222025
40.896156,0.000000,-0.920308
49.964521,0.000000,-1.179202
55.676279,0.000000,-0.896480
52.610376,12.208835,-0.220224
42.481634,32.667459,0.529948
32.740966,49.837676,1.019993
27.496488,48.947351,1.047357
26.224895,32.102555,0.613663
27.942604,13.695086,-0.087755
32.894301,2.145484,-0.755106
39.999517,0.000000,-1.104620
45.774956,0.000000,-0.991143
47.210672,7.089450,-0.464775
43.269466,26.433127,0.261493
37.485854,48.863520,0.905365
34.294245,56.290331,1.220077
33.939315,41.644931,1.076962
33.936699,19.592641,0.510444
32.542340,4.987627,-0.287571
30.196377,1.284439,-1.029189
28.613049,3.847308,-1.429730
31.702306,7.052729,-1.310301
44.556171,7.694264,-0.673364
65.752407,6.034541,0.274242
81.563719,6.649256,1.176849
76.939900,16.116287,1.666411
56.270324,35.704684,1.526223
35.767827,54.984574,0.792712
24.201603,57.570224,-0.259680
21.295976,39.730660,-1.232472
24.181658,16.919944,-1.756503
31.460223,2.885533,-1.630150
41.894847,0.000000,-0.898935
50.582744,0.000000,0.160110
51.883614,3.714756,1.152338
45.872711,12.374625,1.723348
38.676588,26.819570,1.682573
34.014508,40.147118,1.050973
30.558388,41.209272,0.041219
27.272912,29.294566,-1.007949
25.786315,14.163453,-1.730849
28.984693,4.311795,-1.850747
36.967619,0.995848,-1.281838
44.928210,2.049526,-0.184705
47.569051,6.111218,1.053163
