ECR_act,FCR_act,wrist_hand_r3_pos
29.979265,0.000000,-1.131369
33.807812,0.000000,-0.067193
29.875761,7.863063,1.028229
20.120793,30.282150,1.737345
9.771197,56.893185,1.784606
3.484947,69.187803,1.145575
4.756855,58.074386,0.058132
14.995771,33.601649,-1.061818
30.804281,11.345569,-1.771082
43.321729,0.279273,-1.775921
44.036785,1.314749,-1.068517
31.162144,12.544905,0.057299
13.583888,29.773500,1.138932
1.874267,42.620509,1.755514
0.975253,40.560395,1.696013
11.189424,26.344733,1.013054
28.508747,10.689455,-0.027397
43.721143,1.300397,-1.053353
49.092003,0.082353,-1.711480
46.051674,7.360960,-1.777496
38.422825,23.398304,-1.222614
27.191574,43.009895,-0.221049
15.157639,52.733055,0.897684
7.579878,43.922303,1.744523
7.087620,24.278821,2.002668
13.536592,7.199576,1.554644
24.407606,0.000000,0.539832
33.678913,0.000000,-0.694042
34.911414,2.536516,-1.718591
28.149460,14.592027,-2.171328
17.617051,33.666602,-1.875669
7.870924,51.134537,-0.907802
3.014156,54.368135,0.414820
5.234741,39.971968,1.633364
14.477654,18.348211,2.304931
26.559293,1.916302,2.159614
33.468238,0.000000,1.209041
30.103942,1.423785,-0.228415
19.579431,19.974235,-1.617953
9.400500,47.036065,-2.412517
4.047546,66.620966,-2.290356
3.419356,63.736920,-1.297539
6.494283,42.222161,0.179505
13.066965,17.795576,1.579085
21.229471,2.491044,2.378328
26.752674,0.000000,2.281925
27.471599,0.000000,1.332801
23.223149,8.642578,-0.101115
14.655548,26.062226,-1.473233
5.996005,45.751599,-2.275398
2.506021,54.041914,-2.225512
7.841457,43.570265,-1.358766
22.476054,23.517477,-0.008679
40.540412,6.888825,1.313184
51.343789,0.000000,2.111769
46.947829,0.000000,2.106215
30.322702,6.081668,1.334122
12.405980,18.316424,0.114094
1.186400,30.826241,-1.096015
0.000000,34.515054,-1.868252
7.704927,26.084380,-1.944964
23.746329,12.048986,-1.319744
39.666473,2.773709,-0.234812
43.269382,5.061598,0.909780
31.138847,19.131092,1.699899
13.963080,37.093878,1.848813
2.234988,45.294559,1.296853
0.462099,37.829608,0.245060
9.658143,21.642473,-0.901807
26.924955,7.949537,-1.686408
42.311281,1.599793,-1.789442
43.948854,1.004761,-1.165986
32.178557,4.803647,-0.064314
18.218715,14.107341,1.070008
8.569353,27.776732,1.764330
3.058964,38.249562,1.712948
1.211521,37.032838,0.923768
4.862680,25.462625,-0.266522
16.241471,12.169855,-1.340189
33.418182,3.993165,-1.836945
47.617450,1.664281,-1.553551
48.195309,3.237524,-0.616347
35.227763,8.218146,0.580961
19.571941,17.362836,1.537865
8.904908,28.493481,1.853884
3.778582,34.916718,1.403297
2.973692,30.780349,0.387963
6.263611,18.759940,-0.765554
14.021033,7.452721,-1.601657
25.693215,2.008480,-1.815792
37.723516,1.678647,-1.349127
41.716280,4.187123,-0.388781
32.414722,9.802977,0.709341
16.971116,20.432744,1.550329
5.433531,32.990406,1.839534
1.261239,37.861066,1.478665
2.346721,29.375913,0.590471
5.821331,14.943006,-0.522722
11.402086,4.821190,-1.472287
21.188178,1.788836,-1.913282
35.183794,2.789561,-1.674154
46.695070,4.521670,-0.828145
46.440659,7.065423,0.329943
34.118539,13.039220,1.387782
18.775144,22.681424,1.958391
7.827062,29.693126,1.820794
3.168502,26.787920,1.013795
3.067014,16.302726,-0.167043
6.081774,6.322463,-1.284706
12.380902,0.991448,-1.935574
21.698405,0.000000,-1.896333
31.389227,1.478060,-1.188714
35.902192,6.182964,-0.060801
29.819866,14.818996,1.096409
16.552987,25.686674,1.877546
5.476394,31.973355,2.001753
1.494563,27.804289,1.412478
4.376061,17.061352,0.303700
12.501434,7.236891,-0.933365
23.852484,1.970264,-1.836039
33.445239,0.225486,-2.046325
34.968393,0.084748,-1.473241
26.798281,1.999587,-0.348194
14.911389,8.675291,0.873273
6.238916,20.939463,1.711343
3.098875,32.406803,1.856162
4.752488,32.630097,1.277670
9.272803,21.462541,0.227169
14.125740,9.510555,-0.864147
18.305629,3.982560,-1.561115
24.490663,4.242536,-1.605322
34.186674,5.878941,-1.012275
42.281928,5.779396,-0.043117
39.622618,4.648732,0.915633
26.456125,6.005309,1.498457
11.895181,13.009586,1.486219
2.936545,24.784113,0.882838
1.018049,34.675526,-0.082537
4.054795,34.279350,-1.037856
9.280793,23.337339,-1.606114
14.597484,10.430471,-1.545822
19.598281,2.399719,-0.849730
25.017573,0.000000,0.229775
29.189889,0.811347,1.256934
27.542443,6.256658,1.788908
19.202445,17.751094,1.581421
9.281075,31.846005,0.709697
2.592406,37.703287,-0.464398
0.861019,29.150995,-1.452054
5.043485,14.576610,-1.840694
15.729150,4.426196,-1.463584
30.524159,1.361635,-0.477859
42.535068,2.172508,0.693067
43.505704,3.549293,1.548199
32.882003,6.302015,1.740292
19.740785,14.239746,1.221628
10.495540,26.919500,0.235984
5.296873,35.344591,-0.809420
3.849771,31.175047,-1.510522
6.659910,18.855305,-1.609407
13.601076,7.949312,-1.079323
22.122160,2.590895,-0.128165
26.914415,0.861716,0.882413
25.306502,0.948605,1.568941
20.257827,5.169885,1.659557
14.888779,17.252375,1.093278
10.671214,35.257207,0.059784
7.432971,47.529182,-1.049281
5.882702,42.943020,-1.785197
8.365349,26.095465,-1.831141
15.804911,10.304310,-1.141768
25.724626,2.041646,0.032208
33.768647,0.000000,1.235730
37.094986,1.016379,1.980378
34.618347,4.722325,1.944107
26.307928,12.560261,1.124581
15.500411,23.886776,-0.142627
6.342488,32.067400,-1.332878
1.562055,30.202144,-1.971900
2.994509,20.071251,-1.832435
12.179757,9.798440,-1.002438
28.221349,4.493446,0.174215
44.019942,3.115637,1.239747
48.198061,3.149504,1.797228
37.232226,5.531120,1.658964
20.765596,13.579234,0.906854
8.774254,26.597080,-0.157608
3.899064,36.489267,-1.136612
4.879358,35.192541,-1.674004
10.521414,23.864452,-1.570926
19.676490,11.016577,-0.857941
29.670546,2.708984,0.203094
35.631965,0.000000,1.204435
32.980019,0.053394,1.742310
23.766563,5.191654,1.575792
14.480210,15.840199,0.738510
8.222328,28.047845,-0.443835
4.468774,31.991140,-1.465654
2.769778,23.712447,-1.867905
3.734128,11.624175,-1.471931
8.395752,3.761626,-0.471021
16.794640,1.032079,0.685702
27.253591,0.527362,1.530829
35.149855,0.524338,1.779106
35.343758,2.669791,1.396047
29.339193,10.575631,0.551828
21.358678,24.368859,-0.469804
13.322104,35.902318,-1.356753
6.679157,34.746793,-1.835756
2.902076,22.728326,-1.732269
2.742513,9.636673,-1.031333
6.729812,2.035901,0.080356
15.570839,0.594213,1.238748
29.706438,2.529562,2.021160
46.843390,4.711662,2.118125
58.523439,5.523195,1.466933
55.917594,5.938364,0.280415
40.431130,9.143351,-1.029713
22.376974,17.467870,-1.997108
9.129658,27.312952,-2.268429
2.180817,30.152615,-1.739608
1.226870,23.489326,-0.599577
6.645161,13.422946,0.743018
18.968611,5.647575,1.811116
35.643792,1.920356,2.222377
48.734207,0.921524,1.818986
48.157239,2.614498,0.736211
32.937523,10.998106,-0.624073
15.297687,29.180369,-1.731735
4.640071,49.097818,-2.136303
1.618978,52.573107,-1.655608
4.627492,35.613094,-0.467801
13.100849,14.246416,0.931612
25.088125,0.764078,1.915499
34.572028,0.000000,2.011272
35.322673,0.000000,1.158092
27.746059,7.850310,-0.235083
17.700224,25.672300,-1.498336
10.064846,45.793176,-2.053131
6.167995,51.579486,-1.685415
5.078263,36.449671,-0.600535
6.007030,15.458287,0.716642
9.493488,2.020673,1.725811
16.647852,0.000000,2.040985
26.728452,0.000000,1.562891
34.902906,3.252636,0.495433
34.391372,9.782295,-0.752222
24.050724,19.030770,-1.724886
11.266332,28.004809,-2.074416
3.130965,31.462892,-1.668646
0.911608,26.382420,-0.640516
2.897818,15.494633,0.643336
7.969769,5.585596,1.705182
16.025388,0.000000,2.134128
26.139056,0.000000,1.746895
34.106278,0.474797,0.670529
33.684550,8.878041,-0.682716
23.843820,24.429248,-1.758263
11.206675,41.091330,-2.093606
2.076556,46.777070,-1.546073
0.000000,37.591466,-0.375894
1.659149,20.950257,0.881954
14.995732,7.349893,1.681792
38.277816,1.556606,1.713074
