ECR_act,FCR_act,wrist_hand_r3_pos
5.671695,6.837216,2.048885
8.379166,7.483459,-0.013269
13.045246,6.593833,-2.052356
16.512609,5.020016,-3.374629
17.191664,3.917924,-3.550476
16.646705,3.703910,-2.555779
18.016123,4.231423,-0.762556
21.016489,4.955593,1.199469
23.141512,5.586952,2.659608
24.334430,6.729466,3.147826
23.305717,8.706281,2.578537
17.553969,10.678592,1.272534
10.059705,10.976102,-0.217556
7.338392,8.450631,-1.377991
13.353169,4.659552,-1.934784
25.931830,2.600156,-1.890083
36.274378,4.785959,-1.424860
35.456207,12.783393,-0.763558
23.906490,25.278100,-0.080126
11.501523,35.273946,0.524053
5.270231,33.959521,0.985577
6.578610,22.348189,1.233914
14.016729,9.426985,1.186197
23.052556,1.731767,0.802052
27.076224,0.000000,0.165908
23.185046,3.158411,-0.479905
14.843404,11.226044,-0.821815
7.665928,21.890796,-0.669873
3.889085,27.639993,-0.132117
3.010514,23.052975,0.399119
5.398983,12.854721,0.495838
11.920393,4.735807,0.017151
21.074294,2.227893,-0.753434
27.378221,4.504895,-1.284444
24.861242,9.609455,-1.157859
15.095842,16.251699,-0.343840
6.105864,21.227488,0.789667
4.119000,20.164729,1.697378
9.898160,14.253365,1.941300
18.921723,8.505194,1.392257
23.980167,5.233442,0.280455
20.945968,4.651757,-0.913456
12.944903,7.909257,-1.684039
5.784272,14.951670,-1.739151
2.389382,21.273998,-1.124976
3.454919,21.068504,-0.177584
9.949764,14.842365,0.655811
22.337658,8.519930,1.028427
36.408661,5.964912,0.850907
42.649794,7.043516,0.330799
35.454432,11.630968,-0.142845
20.410085,20.304371,-0.239660
7.564568,28.804099,0.081201
1.841761,28.614236,0.524184
3.756347,18.560188,0.659596
12.652744,7.298466,0.243304
25.113944,2.584551,-0.583758
32.984840,6.518836,-1.362086
29.718511,16.897000,-1.589616
18.652820,28.336962,-1.021144
8.838619,32.318284,0.173133
6.588818,24.636270,1.457411
13.316029,12.508917,2.173824
24.320412,4.190194,1.891112
30.278459,2.111835,0.682464
25.554995,5.439051,-0.865654
14.840114,13.285176,-1.969314
6.111445,22.648117,-2.101449
2.679741,26.700711,-1.278463
4.599908,21.624660,-0.002967
12.280704,12.783744,1.059085
24.139172,6.825007,1.440516
33.858878,5.292779,1.084504
34.773994,5.330610,0.332101
27.697285,4.348634,-0.293755
18.341644,3.713255,-0.409318
11.065210,7.447215,-0.020074
7.003035,17.705539,0.479534
5.711485,30.556123,0.588792
6.685119,36.262526,0.076410
9.678596,28.766100,-0.834239
14.854775,15.092836,-1.608644
21.563203,5.205169,-1.750618
28.626691,2.163409,-1.096756
34.416054,3.918439,0.117925
37.321407,8.698453,1.407356
34.933552,16.793030,2.266803
25.022742,26.506758,2.372361
11.734513,30.948622,1.684728
3.842360,24.702398,0.438205
7.618683,13.229810,-0.962839
22.669378,5.408356,-2.082284
39.871097,4.078551,-2.572683
45.500099,6.874302,-2.263942
35.121463,11.237941,-1.222096
18.255649,17.139881,0.242787
5.638851,23.305569,1.649848
0.399079,24.065654,2.498120
0.901861,16.847045,2.450173
6.447685,7.866492,1.486993
18.286343,3.050265,-0.036341
34.711460,3.144052,-1.499012
45.482350,5.805601,-2.283038
40.482186,9.995173,-2.076183
24.180689,17.269205,-1.023615
8.490576,26.699909,0.365302
1.445376,30.991588,1.479752
5.758203,25.252307,1.877572
21.013415,16.592683,1.446084
39.901453,11.843024,0.422334
47.958837,10.422132,-0.715897
37.429197,10.548163,-1.454940
17.691414,14.211930,-1.471429
2.546653,21.447332,-0.777963
0.000000,25.687661,0.279276
2.176229,20.842800,1.168238
14.668873,11.299703,1.412226
30.369780,4.153631,0.841962
39.010080,2.339219,-0.264972
33.011719,6.382300,-1.284600
18.148102,15.665448,-1.595062
6.318957,25.326315,-0.977163
4.563496,27.364468,0.224743
12.738818,19.921842,1.319600
25.039167,10.832840,1.709365
32.055237,6.962047,1.234874
26.731172,9.166553,0.216991
12.883933,15.370763,-0.777123
3.528392,21.155053,-1.259946
9.191028,21.216574,-1.064780
30.714073,16.469608,-0.403264
55.302738,11.514669,0.280398
63.006813,8.278862,0.587654
47.894239,7.949549,0.412904
24.138993,12.604281,-0.012484
7.536250,21.004388,-0.318585
1.580452,25.815384,-0.285498
1.427421,21.140714,0.007253
3.155740,11.529613,0.279873
7.045205,4.437913,0.298329
15.610942,2.736822,0.056538
28.469673,4.858299,-0.236903
39.199099,8.262379,-0.327535
38.727077,12.503096,-0.096227
26.445382,19.462878,0.363456
11.903902,28.495225,0.795701
2.534630,33.020075,0.916348
0.230395,28.057955,0.564334
4.851383,16.999499,-0.196082
16.106884,7.444883,-1.076969
31.712942,3.187645,-1.683355
44.479975,3.137576,-1.691105
45.645933,5.218330,-0.999379
34.825879,9.724431,0.204014
20.290236,17.983422,1.484176
10.484301,27.502345,2.307392
7.453866,30.477553,2.268846
7.535860,23.344725,1.308143
7.317340,12.718525,-0.221225
7.876441,5.081603,-1.696485
12.372180,2.054381,-2.510194
21.263462,2.364889,-2.336427
30.727626,4.632923,-1.258422
34.720002,9.050385,0.274384
29.877209,16.776087,1.635595
19.215021,26.256367,2.293311
8.700957,30.545679,2.045102
3.322152,24.818122,1.083656
6.019652,14.276043,-0.145074
17.298409,6.303610,-1.183121
32.620351,3.320079,-1.738279
41.205818,3.492243,-1.721714
35.133512,4.838013,-1.193748
20.859332,8.128775,-0.310204
9.061102,14.817844,0.689575
3.851216,22.457770,1.489515
3.029642,24.173366,1.766380
4.143709,17.598071,1.341084
8.774903,9.095826,0.329595
19.482677,4.393667,-0.844703
33.083560,4.190583,-1.639777
39.163162,6.531354,-1.684083
31.544459,9.785174,-0.972616
16.520809,13.386821,0.149440
4.329605,15.734806,1.175861
0.332055,14.083343,1.671859
5.214966,9.802821,1.444114
17.147530,7.180421,0.603401
31.030188,8.020417,-0.489171
37.598088,10.765225,-1.373237
31.026811,14.382324,-1.678592
18.032097,19.968406,-1.274616
8.053510,25.953341,-0.326780
3.672957,27.171198,0.755438
3.621833,22.200624,1.476379
7.668206,14.505978,1.484337
16.631801,8.643631,0.773002
28.426165,6.597752,-0.284562
36.435199,6.458459,-1.127168
36.549803,6.673001,-1.316659
30.208930,9.009379,-0.771758
20.280985,15.056573,0.205823
10.446327,21.941794,1.098749
4.697794,23.675601,1.430208
5.254771,18.810205,0.996171
12.577034,11.736747,-0.021448
24.521390,7.440130,-1.128508
34.950361,7.022128,-1.767385
36.904335,8.074794,-1.610940
28.238746,9.637313,-0.723782
14.552933,12.753705,0.495512
4.764981,15.923931,1.525843
3.296477,15.226021,1.952357
9.917801,10.150727,1.617221
20.730378,4.540096,0.663529
28.395559,2.243816,-0.527423
27.684916,5.882111,-1.487403
20.558893,17.096734,-1.847419
12.707609,32.893095,-1.482832
7.555802,42.254456,-0.562997
5.124980,35.847051,0.510208
6.166820,20.170950,1.265523
13.218103,7.955837,1.384053
25.608050,3.744652,0.876396
36.161850,4.089293,0.087121
37.415555,4.963548,-0.511877
29.090889,6.769059,-0.615045
17.226828,13.026018,-0.258443
7.634976,24.468024,0.237201
2.494087,34.745349,0.491802
1.730801,34.454170,0.295603
6.402689,23.538928,-0.283303
19.052707,11.253350,-0.942085
38.309562,4.232467,-1.297356
53.367778,2.535753,-1.081971
52.266147,4.101322,-0.296201
37.000392,10.047807,0.771977
18.924265,23.333950,1.679223
7.058591,40.882831,2.035220
2.706004,49.469147,1.666828
3.752477,39.709565,0.669624
10.225637,21.058755,-0.639922
22.580894,7.126819,-1.827599
36.461551,2.428652,-2.470505
41.405740,3.453817,-2.290821
32.226673,5.083407,-1.264826
18.072647,5.295421,0.325857
10.334574,5.429729,1.934826
10.262916,8.131793,2.915551
11.645906,14.873048,2.795536
10.113861,23.553062,1.541255
8.054140,27.852794,-0.367349
10.349153,22.668451,-2.141417
19.340076,12.281185,-3.057758
31.119763,4.907959,-2.780727
35.842626,4.818676,-1.475281
27.609597,11.538476,0.299755
13.482161,21.250679,1.842279
3.722146,26.798236,2.601282
3.928255,23.484661,2.395358
14.159968,16.689783,1.444167
28.159110,12.791576,0.199139
35.738117,12.242945,-0.902703
31.932529,14.128156,-1.597026
21.247809,19.916502,-1.799147
10.926817,27.106961,-1.530663
4.408839,28.243538,-0.875526
2.051077,20.783349,-0.002612
4.028196,10.267051,0.808948
11.273016,3.607590,1.237806
23.089005,2.856449,1.098869
34.181039,5.527464,0.512312
36.868080,8.462937,-0.114192
29.243298,11.729878,-0.344855
16.954155,17.581666,-0.046563
6.888434,25.225128,0.486487
2.237512,28.787455,0.744035
4.335900,23.671975,0.390214
14.490678,13.998414,-0.477611
30.764726,6.756154,-1.390230
44.819960,4.165677,-1.810183
46.353418,4.236081,-1.442854
33.925530,5.452131,-0.377159
16.921230,8.876053,0.970175
5.621678,15.184935,2.039615
2.382121,21.186692,2.361251
3.671937,21.883236,1.752836
5.894651,16.511275,0.405148
9.471752,9.277333,-1.181759
18.146564,4.684709,-2.381883
31.764495,3.711547,-2.681067
41.752178,4.546734,-1.899113
38.988477,5.626409,-0.308933
25.167847,7.449801,1.442013
10.164031,10.607896,2.620681
1.445966,13.070628,2.763567
0.368220,12.439085,1.876050
5.266663,9.598504,0.365503
14.536018,6.582193,-1.200837
26.167665,5.030655,-2.329134
34.903683,5.443064,-2.714998
34.143048,6.742003,-2.261511
24.438829,6.919889,-1.072750
15.628113,5.349155,0.540056
16.454115,3.613590,2.075517
24.326254,3.620739,2.958029
28.743646,6.907806,2.775872
24.493703,15.305800,1.531822
15.721126,28.509561,-0.287391
8.304108,39.168739,-1.923724
4.744402,37.558715,-2.728401
5.580328,24.912269,-2.466830
11.550695,11.665806,-1.379139
22.644294,4.958522,-0.006158
34.149053,3.821609,1.093392
37.131357,4.429405,1.595355
28.804245,5.921453,1.521605
16.497520,10.522200,1.151657
7.801021,18.881600,0.780680
3.823228,26.010098,0.491709
2.775951,24.921388,0.127846
6.582739,16.600638,-0.498272
22.185551,9.116374,-1.332436
52.767705,7.415402,-1.999784
85.496413,9.456143,-2.025196
94.655443,10.827163,-1.194865
69.881965,11.148787,0.236657
32.345729,14.736757,1.662667
6.355847,23.682693,2.464254
0.000000,32.662131,2.322426
0.000000,34.048509,1.326821
5.912660,26.118169,-0.117083
16.010412,14.808844,-1.477681
32.294153,8.160754,-2.286573
50.154502,7.943885,-2.275649
58.126376,10.219923,-1.444577
49.318202,11.637979,-0.061483
28.569189,12.777886,1.399835
8.751264,14.833526,2.395903
0.000000,15.858002,2.515584
0.097463,13.063559,1.673941
10.332429,7.521215,0.177059
26.107375,3.392238,-1.403758
40.767020,4.824879,-2.479382
44.155698,14.051612,-2.672782
32.330027,29.229928,-1.938736
16.433497,41.639922,-0.560874
9.471116,40.977404,0.955241
16.123847,29.545242,2.068102
30.976638,19.082546,2.407796
41.626893,14.721846,1.916283
39.284373,13.020966,0.856934
25.735645,11.105359,-0.305605
11.242484,11.651388,-1.107373
3.553488,17.773044,-1.296691
2.486919,26.442026,-0.957124
