time,SUP,ECRL,ECRB,ECU,FCR,FCU,PQ,SUP_min,ECRL_min,ECRB_min,ECU_min,FCR_min,FCU_min,PQ_min,SUP_max,ECRL_max,ECRB_max,ECU_max,FCR_max,FCU_max,PQ_max,SUP_exc,ECRL_exc,ECRB_exc,ECU_exc,FCR_exc,FCU_exc,PQ_exc,SUP_act,ECRL_act,ECRB_act,ECU_act,FCR_act,FCU_act,PQ_act,wrist_hand_r3_pos,wrist_hand_r3_vel
0.01,-1017819072.0,0.0425922126015113,0.0092899706214666,-0.0256598033010959,-0.0800911635160446,-0.1798444367109212,-2581723086848.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.042592213,0.01,0.01,0.01,0.01,0.01,0.17375807,0.07289356,0.051238514,0.010013468,0.024448732,0.03836525,0.29844546,-0.2230432049238245,0.70373818613103
0.02,-1017819072.0,0.1403891016624821,0.0439031906425952,-0.0215670466423034,-0.0936797112226486,-0.2919319153184211,-2581723086848.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.1403891,0.04390319,0.01,0.01,0.01,0.01,0.17375807,0.10100983,0.049944527,0.010012142,0.022972224,0.0353645,0.29844546,-0.2168803904254888,0.5392386837676976
0.03,-1017819072.0,0.2199452689635113,0.0687130242586135,-0.0249453634023666,-0.0983888804912567,-0.4007786512374878,-2581723086848.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.21994527,0.068713024,0.01,0.01,0.01,0.01,0.17375807,0.1558827,0.06199104,0.010010948,0.021652645,0.03270312,0.29844546,-0.2127633786771826,0.2846967877676223
0.04,-1017819072.0,0.2514231814221698,0.0382777899503707,-0.0339230522513389,-0.0943167805671691,-0.3940896093845367,-2581723086848.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.25142318,0.03827779,0.01,0.01,0.01,0.01,0.17375807,0.20640667,0.06014785,0.010009872,0.02047222,0.030338539,0.29844546,-0.2121237439783417,-0.1513195757273139
0.05,-1017819072.0,0.2059984456364315,0.0394441857933998,-0.0488897264003753,-0.0791031196713447,-0.3788945376873016,-2581723086848.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.20599845,0.039444186,0.01,0.01,0.01,0.01,0.17375807,0.22019614,0.057822365,0.0100089,0.019412674,0.028228654,0.29844546,-0.2166690313223213,-0.6937669718790779
0.06,-1017819072.0,0.1548262091342214,0.0221035256981849,-0.068409152328968,-0.0562913008034229,-0.3579024970531463,-2581723086848.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.15482621,0.022103526,0.01,0.01,0.01,0.01,0.17375807,0.21409991,0.0540537,0.010008025,0.018464126,0.026350085,0.29844546,-0.2260574345015036,-1.1033949746166851
0.07,-1017819072.0,0.1118159592789615,-0.0091243106871843,-0.1054947078227996,-0.0063277892768383,-0.310128390789032,-2581723086848.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.11181596,0.01,0.01,0.01,0.01,0.01,0.17375807,0.20108399,0.049352534,0.010007236,0.01761325,0.024673052,0.29844546,-0.2381263627916068,-1.2585774531534435
0.08,-1017819072.0,0.0990349514420015,-0.0442250370979309,-0.1292777061462402,0.062176801264286,-0.1697375620406181,-2581723086848.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.09903495,0.01,0.01,0.0621768,0.01,0.01,0.17375807,0.18629013,0.04508598,0.010006525,0.048734564,0.02317517,0.29844546,-0.2505833784384452,-1.1882755883585636
0.09,-1017819072.0,0.0163744842090064,-0.0728503167629242,-0.1493106633424759,-0.0789813324809074,-0.0474390953878827,-2581723086848.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.016374484,0.01,0.01,0.01,0.01,0.01,0.17375807,0.16652456,0.04131918,0.010005883,0.046304557,0.021834968,0.29844546,-0.2606082282175062,-0.8063480110731944
0.1,-1017819072.0,-0.1105208649030207,-0.0828648805618286,-0.1479746699333191,-0.0273360684514045,0.0577973897837719,-2581723086848.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.05779739,0.01,0.17375807,0.14507324,0.037985656,0.010005305,0.042394016,0.0366548,0.29844546,-0.265760855292375,-0.2646426055497814
0.1100000000000001,-1017819072.0,-0.1344185471534729,-0.0688856542110443,-0.1254918724298477,-0.003071516752243,0.0710943392298484,-2581723086848.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.07109434,0.01,0.17375807,0.1271817,0.03502947,0.010004783,0.03893545,0.051725164,0.29844546,-0.265318945811025,0.2817987241374994
0.1200000000000001,-1017819072.0,-0.1220317929983139,-0.0383846536278724,-0.0957949310541153,-0.0049898885190486,0.0337434754764788,-2581723086848.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.033743475,0.01,0.17375807,0.11219087,0.032406766,0.010004313,0.035874415,0.05286538,0.29844546,-0.2601427870966529,0.6843851852974093
0.1299999999999999,-1017819072.0,-0.0980342999100685,-0.0076232375577092,-0.0717384740710258,-0.0244779996573925,-0.0408518463064177,-2581723086848.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.17375807,0.09949805,0.030074421,0.010003889,0.033158045,0.04841102,0.29844546,-0.2520758651451724,0.8780944123948661
0.1399999999999999,-1017819072.0,-0.0720285177230835,0.0424543730914592,-0.0418591052293777,-0.0437090583145618,-0.114478605447281,-2581723086848.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.042454373,0.01,0.01,0.01,0.01,0.17375807,0.088640295,0.038472325,0.010003506,0.030739082,0.044247944,0.29844546,-0.242982811426647,0.9158281576899872
0.1499999999999999,-1017819072.0,-0.063585452735424,0.0242811571806669,-0.0254234448075294,-0.0676139816641807,-0.1532414004137332,-2581723086848.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.024281157,0.01,0.01,0.01,0.01,0.17375807,0.079266824,0.037748717,0.01000316,0.028577194,0.040557127,0.29844546,-0.2341175099836651,0.8588097500083844
0.1599999999999999,-1017819072.0,0.0526475776790952,0.0746854171156883,-0.0273536443710327,-0.0866987481713295,-0.1897963657969856,-2581723086848.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.05264758,0.07468542,0.01,0.01,0.01,0.01,0.17375807,0.07287372,0.06292858,0.010002849,0.026658796,0.03730705,0.29844546,-0.2260702315658901,0.7532602141433502
0.1699999999999999,-1017819072.0,0.1487863415158233,0.0166307147592306,-0.0192512907087802,-0.0981702357530593,-0.3050704296664105,-2581723086848.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.14878634,0.016630715,0.01,0.01,0.01,0.01,0.17375807,0.10572808,0.05984051,0.010002568,0.024947997,0.034427658,0.29844546,-0.2195357455006669,0.5518831358927778
0.1799999999999999,-1017819072.0,0.2260716978121604,0.0458290427923202,-0.0237298607826232,-0.1010921895503997,-0.4054564535617828,-2581723086848.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.2260717,0.045829043,0.01,0.01,0.01,0.01,0.17375807,0.1612588,0.057917427,0.010002316,0.02342023,0.03187125,0.29844546,-0.2157554050599311,0.2136072637934049
