number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_prob,params_hidden_dim,params_lr,params_num_layers,state
0,0.01887369655197909,2026-06-03 19:35:02.028059,2026-06-03 19:41:24.153947,0 days 00:06:22.125888,16,0.4763615639054031,50,0.001,1,COMPLETE
1,0.02080505792474171,2026-06-03 19:41:24.156947,2026-06-03 19:47:40.033581,0 days 00:06:15.876634,32,0.4191975050104688,20,0.0005,2,COMPLETE
2,0.017657196787068574,2026-06-03 19:47:40.033581,2026-06-03 19:54:18.382893,0 days 00:06:38.349312,16,0.35315275780066624,35,0.001,1,COMPLETE
3,0.018820136069406232,2026-06-03 19:54:18.388689,2026-06-03 19:58:10.791893,0 days 00:03:52.403204,32,0.4743760713316967,20,0.001,1,COMPLETE
4,0.01656831446898115,2026-06-03 19:58:10.793892,2026-06-03 20:04:41.189665,0 days 00:06:30.395773,16,0.17603724637039828,50,0.0005,1,COMPLETE
5,0.018705245193011838,2026-06-03 20:04:41.191664,2026-06-03 20:09:55.264314,0 days 00:05:14.072650,16,0.47409643603406104,20,0.001,1,COMPLETE
6,0.05435031615197659,2026-06-03 20:09:55.267316,2026-06-03 20:11:22.783590,0 days 00:01:27.516274,64,0.1758784579194238,20,0.0001,1,COMPLETE
7,0.02539809391601011,2026-06-03 20:11:22.784590,2026-06-03 20:12:51.311463,0 days 00:01:28.526873,64,0.28073476373245176,20,0.0005,1,COMPLETE
8,0.023962176016842324,2026-06-03 20:12:51.312460,2026-06-03 20:13:56.430391,0 days 00:01:05.117931,128,0.10703300956358835,35,0.001,1,COMPLETE
9,0.024685132117186745,2026-06-03 20:13:56.430391,2026-06-03 20:23:39.404297,0 days 00:09:42.973906,16,0.1837675958182942,20,0.0001,2,COMPLETE
10,0.022900064677620926,2026-06-03 20:23:39.404297,2026-06-03 20:26:20.381392,0 days 00:02:40.977095,128,0.25918105961063553,50,0.0005,2,COMPLETE
