number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_prob,params_hidden_dim,params_lr,params_num_layers,state
0,0.02531580812822393,2026-06-03 10:07:17.075218,2026-06-03 10:13:00.854903,0 days 00:05:43.779685,16,0.2600614070585423,35,0.0001,1,COMPLETE
1,0.029607449337069332,2026-06-03 10:13:00.855901,2026-06-03 10:16:52.505651,0 days 00:03:51.649750,64,0.38441074423664234,20,0.0001,2,COMPLETE
2,0.0252632611463296,2026-06-03 10:16:52.505651,2026-06-03 10:21:45.073125,0 days 00:04:52.567474,64,0.23019731603013152,50,0.001,2,COMPLETE
3,0.02659637074689808,2026-06-03 10:21:45.074125,2026-06-03 10:33:32.469358,0 days 00:11:47.395233,16,0.10200735630685848,35,0.001,2,COMPLETE
4,0.026743850959786052,2026-06-03 10:33:32.470362,2026-06-03 10:37:24.647662,0 days 00:03:52.177300,64,0.32357577137869253,35,0.0001,2,COMPLETE
5,0.024922851554077606,2026-06-03 10:37:24.648355,2026-06-03 10:45:12.600781,0 days 00:07:47.952426,32,0.4187703719092556,50,0.001,2,COMPLETE
6,0.025118403104615623,2026-06-03 10:45:12.606108,2026-06-03 10:46:55.008792,0 days 00:01:42.402684,64,0.11712473856556521,35,0.001,1,COMPLETE
7,0.024750875758713688,2026-06-03 10:46:55.009790,2026-06-03 10:49:09.401268,0 days 00:02:14.391478,64,0.40453579927881644,35,0.001,1,COMPLETE
8,0.025900367436849554,2026-06-03 10:49:09.402260,2026-06-03 10:55:27.852204,0 days 00:06:18.449944,32,0.3876349613360893,20,0.0001,2,COMPLETE
9,0.025639408898405634,2026-06-03 10:55:27.853211,2026-06-03 11:01:05.927625,0 days 00:05:38.074414,16,0.499058700519441,20,0.0001,1,COMPLETE
10,0.02517400444324674,2026-06-03 11:01:05.928625,2026-06-03 11:02:17.430135,0 days 00:01:11.501510,128,0.49443442203109017,35,0.0005,1,COMPLETE
11,0.025067736232734245,2026-06-03 11:02:17.431511,2026-06-03 11:06:18.748182,0 days 00:04:01.316671,32,0.419603775010159,50,0.001,1,COMPLETE
12,0.02492728941142559,2026-06-03 11:06:18.749182,2026-06-03 11:09:19.103332,0 days 00:03:00.354150,32,0.43092933923052973,50,0.001,1,COMPLETE
13,0.024872699495533418,2026-06-03 11:09:19.103332,2026-06-03 11:11:47.989993,0 days 00:02:28.886661,128,0.3374416243080442,50,0.0005,2,COMPLETE
14,0.024869356432865405,2026-06-03 11:11:47.990373,2026-06-03 11:14:56.880301,0 days 00:03:08.889928,128,0.3198480054334084,50,0.0005,2,COMPLETE
15,0.024971149926041734,2026-06-03 11:14:56.886419,2026-06-03 11:16:08.758200,0 days 00:01:11.871781,128,0.20084138201019197,35,0.0005,1,COMPLETE
16,0.024727806705853034,2026-06-03 11:16:08.759199,2026-06-03 11:18:38.859891,0 days 00:02:30.100692,128,0.26889031817532394,50,0.0005,2,COMPLETE
17,0.02477414608965146,2026-06-03 11:18:38.862889,2026-06-03 11:20:12.302236,0 days 00:01:33.439347,64,0.16616840706240427,35,0.0005,1,COMPLETE
18,0.024885492848938907,2026-06-03 11:20:12.303245,2026-06-03 11:21:24.530419,0 days 00:01:12.227174,128,0.2725833771645669,50,0.0005,1,COMPLETE
19,0.024872010156255345,2026-06-03 11:21:24.531412,2026-06-03 11:24:25.823918,0 days 00:03:01.292506,64,0.366928020566013,20,0.0005,2,COMPLETE
20,0.025108914693881726,2026-06-03 11:24:25.824914,2026-06-03 11:26:55.356751,0 days 00:02:29.531837,128,0.2611619248589934,50,0.001,2,COMPLETE
21,0.024919077079614688,2026-06-03 11:26:55.357753,2026-06-03 11:28:28.501420,0 days 00:01:33.143667,64,0.18079276004565548,35,0.0005,1,COMPLETE
22,0.024913327511528444,2026-06-03 11:28:28.501420,2026-06-03 11:30:02.571517,0 days 00:01:34.070097,64,0.16929098505367465,35,0.0005,1,COMPLETE
23,0.024797439944512886,2026-06-03 11:30:02.572517,2026-06-03 11:31:36.737142,0 days 00:01:34.164625,64,0.1552294269563322,35,0.0005,1,COMPLETE
24,0.02482538254417736,2026-06-03 11:31:36.738141,2026-06-03 11:33:10.842448,0 days 00:01:34.104307,64,0.22421280373053004,35,0.0005,1,COMPLETE
25,0.02486620478910105,2026-06-03 11:33:10.842448,2026-06-03 11:34:48.662863,0 days 00:01:37.820415,64,0.14293963687946581,35,0.0005,1,COMPLETE
26,0.02477277031746404,2026-06-03 11:34:48.662863,2026-06-03 11:35:49.453513,0 days 00:01:00.790650,128,0.4516006821615609,35,0.001,1,COMPLETE
27,0.024798237879214615,2026-06-03 11:35:49.454514,2026-06-03 11:36:49.619350,0 days 00:01:00.164836,128,0.46327180231640736,35,0.001,1,COMPLETE
28,0.024856092087153732,2026-06-03 11:36:49.619350,2026-06-03 11:38:37.708282,0 days 00:01:48.088932,128,0.4556613652845032,20,0.001,2,COMPLETE
29,0.02562174847243785,2026-06-03 11:38:37.709427,2026-06-03 11:43:40.961535,0 days 00:05:03.252108,16,0.3428955528766209,50,0.001,1,COMPLETE
30,0.024801841262599517,2026-06-03 11:43:40.961535,2026-06-03 11:44:42.962635,0 days 00:01:02.001100,128,0.2893153203559375,35,0.001,1,COMPLETE
31,0.02551230460662266,2026-06-03 11:44:42.963635,2026-06-03 11:45:43.917597,0 days 00:01:00.953962,128,0.23137565123723358,35,0.0005,1,COMPLETE
32,0.02640631220078674,2026-06-03 11:45:43.918596,2026-06-03 11:47:17.264861,0 days 00:01:33.346265,64,0.4503302056326227,35,0.0001,1,COMPLETE
33,0.024962943889135617,2026-06-03 11:47:17.265860,2026-06-03 11:52:04.407555,0 days 00:04:47.141695,16,0.3948579769806308,35,0.001,1,COMPLETE
34,0.02482494588234815,2026-06-03 11:52:04.408556,2026-06-03 11:53:40.446871,0 days 00:01:36.038315,64,0.3639138822459761,35,0.001,1,COMPLETE
35,0.024978566208276255,2026-06-03 11:53:40.447871,2026-06-03 11:55:59.544722,0 days 00:02:19.096851,128,0.29919745604529824,35,0.0005,2,COMPLETE
36,0.02654992223813616,2026-06-03 11:55:59.545774,2026-06-03 11:59:28.722365,0 days 00:03:29.176591,64,0.47057455026336376,35,0.0001,2,COMPLETE
37,0.025574568626531867,2026-06-03 11:59:28.723362,2026-06-03 12:04:31.835969,0 days 00:05:03.112607,16,0.24077723259692965,50,0.001,1,COMPLETE
38,0.025055330262744223,2026-06-03 12:04:31.835969,2026-06-03 12:07:26.090030,0 days 00:02:54.254061,64,0.2007650424118444,20,0.001,2,COMPLETE
